"idroche","nom","x","y","z"
"0_1_1@a",NA,7.4704409949805,44.0581682165083,"1990,77"
"0_2_1@a",NA,7.46992560715482,44.0491112196183,"2254,07"
"0_2_2@a",NA,7.47044456243572,44.0506848425938,"2309,73"
"0_2_3@a",NA,7.47030186107699,44.0504533208004,"2295,93"
"1_1_1","Roche de la borne géodésique",7.46443542373168,44.0568418737669,"2060,99"
"1_1_10","Roche aux vingt huit corniformes",7.45925229285146,44.0577872753429,"2114,99"
"1_1_11","Roche aux nuages de grosses cupules",7.45931923529224,44.0578383780067,"2115,07"
"1_1_11@a","Roche du réticulé à franges sur grès orange",7.45943212695724,44.0578423249334,"2115,01"
"1_1_12","Roche des 100 corniformes",7.4592950554136,44.0579927754157,"2118,07"
"1_1_13","Roche aux lits de quartz",7.45880917699458,44.0581588937027,"2125,25"
"1_1_13@a","Roche aux cinq corniformes",7.45845265519308,44.0579404313416,"2116,98"
"1_1_13@b","Roche à la coulée de chlorite",7.45872275133867,44.0581717939796,"2125,29"
"1_1_13@c","Roche rouge de la Batterie",7.45851554496212,44.0585237961857,"2139,2"
"1_1_14@a","La table aux corniformes",7.4598465216287,44.0571383167199,"2102,27"
"1_1_15@a","Roche à la gouttière de quartz",7.46004509924723,44.0569760836962,"2104,83"
"1_1_15@b",NA,7.46012224878403,44.0567110863285,"2101,63"
"1_1_15@c",NA,7.46014638677059,44.0567009834934,"2100,65"
"1_1_16@a","Roche des trois grandes plages",7.45950858586578,44.0572797550467,"2106,07"
"1_1_16@b","Roche du sergent major",7.45950315369379,44.0572168709233,"2105,69"
"1_1_17@a","Roche à la surface usée",7.46042820334651,44.056778504227,"2097,94"
"1_1_18@a","Roche des trois corniformes de la zone 1",7.46015185878252,44.0566195728116,"2100,95"
"1_1_18@b","Roche des trois corniformes de la zone 1",7.46016043523675,44.0565740958994,"2101,18"
"1_1_19@a","Roche de la plage camouflée",7.46066085464142,44.0573001310403,"2092,8"
"1_1_1@a","Roche du zigzag de la zone I",7.46406282040019,44.0590410662202,"2036,71"
"1_1_1@b","Roche du corniforme dans la cuvette",7.46354351935071,44.0589652126087,"2040"
"1_1_1@c","Roche des corniformes traversés par une fissure",7.46357076431924,44.0589910427182,"2039,93"
"1_1_1@d","Roche du réticulé près de la mare",7.46461445462582,44.0570322265645,"2058,02"
"1_1_1@e","Roche au sigle LF de la zone I",7.46398201107232,44.0582510859583,"2039,77"
"1_1_1bis",NA,7.46421944787103,44.0583937216674,"2038,8"
"1_1_2","Roche de la cabane de Sassi",7.46240418076889,44.0567798844745,"2066,17"
"1_1_20@a","Roche du chemin des bergers",7.46159509489343,44.0568783941151,"2075,99"
"1_1_2@a","Roche de l'anthropomorphe dans la gouttière",7.46184181512989,44.0577971770728,"2073,56"
"1_1_2@b","Roches des deux gouttières",7.46164408719213,44.0576798071229,"2077,6"
"1_1_2@c","Roche du palier en surplomb",7.46128515604264,44.0577229928149,"2086,79"
"1_1_2@d","Roche de la gouttière noire et violette",7.46125109474963,44.0576306551126,"2083,98"
"1_1_2@e","Roche de l'arc",7.46260633346049,44.0579612170179,"2057,75"
"1_1_2@g","Roche en bas de l'affleurement",7.46191345311617,44.0577578840379,"2066,65"
"1_1_2@h","Roche de la face sous le poudingue",7.46151640944601,44.0576494719354,"2078,52"
"1_1_2@k","Roche bordée de joubarbe",7.46147981407001,44.057660134902,"2080,03"
"1_1_2@p","Roche près du nid de guêpes",7.4619266518738,44.0579106023296,"2066,73"
"1_1_2@x","Roche en surplomb",7.46225904807503,44.0581391571277,"2061,49"
"1_1_3","Roche aux onze faces gravées",7.46074324646997,44.0578194911473,"2099,66"
"1_1_3@a","Roche à l'épaulement",7.46104218401814,44.0579503512081,"2091,59"
"1_1_3@b","Roche surmontée d'un gros bloc",7.46134659338501,44.0579997997626,"2085,73"
"1_1_3@c","Roche aux files de corniformes",7.46181912428614,44.0582581313699,"2076"
"1_1_3@d","Roche de Pascal",7.46193893484166,44.0586315161541,"2078,05"
"1_1_3@e","Roche du gias Bestagnou",7.46203940537218,44.058491725658,"2071,26"
"1_1_3@f","Roche de la gouttière orientée vers le sud-ouest",7.46107097997454,44.0579941487877,"2091,8"
"1_1_3@h","Roche du pacage nocturne",7.46127329268318,44.058454009806,"2094,62"
"1_1_3@j","Roche en creux",7.46199345783143,44.0585388823997,"2074,18"
"1_1_3@n","Roche du couloir herbeux",7.46100244619074,44.0580693750318,"2090,13"
"1_1_4@a","Roche des deux corniformes alignés avec l'ovale",7.4608615343723,44.058030615469,"2099,07"
"1_1_4@a_doublon","Roche des deux corniformes alignés avec l'ovale",7.4607727806691,44.0580165669905,"2099,07"
"1_1_4@b","Roche des deux haches",7.46095875242894,44.0584320711499,"2102,88"
"1_1_4@c","Roches des trois corniformes dans la gouttière",7.4608615343723,44.058030615469,"2095,97"
"1_1_4@d","Roche de la gouttière faillée",7.46076032335047,44.0580171267556,"2099,25"
"1_1_4A","Roche rouge A",7.46080549523621,44.0579609870697,"2100"
"1_1_4B","Roche rouge",7.46080549523621,44.0579609870697,"2100"
"1_1_4C","Paroi rouge",7.46080549523621,44.0579609870697,"2100"
"1_1_5","Roche des six plages",7.46051979162353,44.0578385500905,"2104,79"
"1_1_5@a","Roche de la plage contre la fissure",7.46007986657698,44.0579575176367,"2111,98"
"1_1_5@b","Roche des corniformes différents",7.46007827495056,44.058083845503,"2108,41"
"1_1_5@c","Roche de la plate-forme",7.45982695985293,44.0574909096843,"2110,86"
"1_1_5@d",NA,7.46023796989648,44.0577610295964,"2108,33"
"1_1_6","Roche du gias de la Batterie",7.45951471256697,44.0576402121366,"2110"
"1_1_6@a","Roche des trois petites faces",7.45921659741057,44.0573740367557,"2110"
"1_1_6@b","Roche aux corniformes inondés",7.45934897056407,44.0573139804352,"2106,85"
"1_1_6@c","Roche prismatique",7.45925017186241,44.0570388511868,"2106,69"
"1_1_6@d","Roche cassée",7.45905318564907,44.0570747549559,"2108,81"
"1_1_6@f","Roche de Carrara",7.45919883292099,44.0568788279039,"2106,02"
"1_1_6@g","Roche de Jevi",7.45908982288717,44.0569197979936,"2108,93"
"1_1_6@h","Roche de Caviglia",7.4589185693338,44.0568192710386,"2103,94"
"1_1_6@i","Roche de Benzo",7.45952578066496,44.0570445065581,"2105,98"
"1_1_6@j","Roche de la petite face dans la brèche",7.45951797968101,44.0570989668654,"2104,46"
"1_1_6@k","Roche aux facettes",7.45884766404251,44.057011840425,"2106,55"
"1_1_6@l","Roche aux initiales C.M.N",7.45940668245592,44.0569686921459,"2104,71"
"1_1_6@q","Roche au cercle isolé",7.45912409034893,44.0568821854439,"2108,87"
"1_1_6@r","Roche aux cinq faces dispersées",7.45967596148617,44.0573353638848,"2107,26"
"1_1_6@w","Roche aux deux insignes de chasseurs alpins",7.45895124285322,44.0569079864144,"2108,01"
"1_1_7","Roche éclatée en trois parties",7.45950711536171,44.0569731986151,"2105,85"
"1_1_7@a","Roche au soleil levant",7.45920728563813,44.0572662353787,"2109,88"
"1_1_7@b","Roche aux lichens",7.45972121438412,44.0569906350832,"2107,98"
"1_1_8","Roche aux figures géométriques alignées",7.45951079165033,44.0577395896653,"2112,03"
"1_1_8@a","Roche aux deux cercles",7.45945316142423,44.0577962884633,"2113,06"
"1_1_8@b","Roche de la petite face aux réticulés",7.4594267357836,44.0576351460564,"2110,93"
"1_1_9","Roche de la plage avec l'anse",7.45935350313884,44.0578007653937,"2114,07"
"1_2_1","Roche au bout du couloir",7.4458951068654,44.0624176529534,"2196,94"
"1_2_10","Roche au grand corniforme",7.45195289351906,44.062326464028,"2277,14"
"1_2_10@a","Roche au petit corniforme",7.45179331981904,44.0622163841805,"2268,15"
"1_2_10@b","Roche au demi-corniforme",7.45240520942437,44.0624955583174,"2286,11"
"1_2_10@c","Roche au-dessus du sentier",7.4519691083816,44.0626594119517,"2306,34"
"1_2_10@d","Roche du sentier du Bego",7.45240365938746,44.0624775913439,"2284,69"
"1_2_11","Roche du gias del Ciari",7.45017276269051,44.0609723958775,"2151,92"
"1_2_11@a","Roche du corniforme sur la marche",7.45008329615217,44.0608050609152,"2140,61"
"1_2_11@b","Roche aux corniformes entrecroisés",7.45005592872727,44.0610678169463,"2155,98"
"1_2_11@c","Roche à l'entrée du gias del Ciari",7.45017276269051,44.0609723958775,"2151,92"
"1_2_11@d",NA,7.45051926353843,44.060929803792,"2148,74"
"1_2_11@e",NA,7.45075131750975,44.0608652882588,"2144,04"
"1_2_11@g",NA,7.45043050794918,44.0609157472804,"2146,83"
"1_2_2","Roche aux réticulés usés",7.44616222455856,44.0623245217387,"2200,94"
"1_2_3","Roche à l'éclat disparu",7.44627519681488,44.0621841870306,"2199,52"
"1_2_3@a","Roche faillée aux plages différentes",7.44630243574686,44.0622100212466,"2199,18"
"1_2_3B","Roche de la marre intermittente",7.44620988195118,44.0620067491681,"2193,98"
"1_2_4","Roche tabulaire envahie de lichens",7.4463545186377,44.0623790337151,"2197,88"
"1_2_4@a","Roche posée sur la tranche",7.446352970435,44.0623610666592,"2198,04"
"1_2_4@b","Roche du réticulé érodé",7.44665436560377,44.0622303255988,"2197,29"
"1_2_4@c","Roche du réticulé sous le trou",7.44646045101454,44.0623021417134,"2198,01"
"1_2_4A","Roche Toesca",7.4464916331005,44.0622285988792,"2197,48"
"1_2_5","Roche à l'attelage entouré de réticulés",7.44687629307144,44.0621933267581,"2195,72"
"1_2_6","Roche au  long réticulé",7.44710131710926,44.0621922615785,"2193,98"
"1_2_6@a","Roche aux trois corniformes sur la face lisse",7.44718148661531,44.0622517965705,"2196,49"
"1_2_6@b","Roche au-dessus des ovales",7.44709118141761,44.062219770421,"2195,36"
"1_2_6@c","Roche au couloir abrupt",7.44730473277156,44.0617953626915,"2175,83"
"1_2_6@e","Roche du couloir",7.44679091984909,44.0616380229191,"2174,31"
"1_2_6@g","Roche aux galets de gneiss",7.44734281138723,44.0619469659714,"2180,54"
"1_2_6@h","Roche des deux corniformes roses",7.44725715195892,44.0619688410827,"2182,77"
"1_2_6@j","Roche du corniforme près de l'herbe",7.44729142983113,44.061931232116,"2180,92"
"1_2_6@n","Roche aux cupules nettes",7.4473140236416,44.0619031649583,"2178,66"
"1_2_6@u","Roche de la barre au-dessus du framboisier",7.44719176368875,44.0619356984273,"2181,08"
"1_2_6@x","Roche au filon de quartz bordé de chlorite",7.44712933062117,44.0622270791203,"2195,2"
"1_2_6A","Roche aux trois corniformes différents",7.44715347306114,44.0622169790416,"2194,52"
"1_2_7","Roche au réticulé sinueux",7.44693541661709,44.0622988960416,"2200,72"
"1_2_7@a","Roche au bout de la plate-forme",7.44685679564575,44.0622573279267,"2201"
"1_2_7@c","Roche de la Madallena",7.44731740202356,44.0629581450324,"2225,71"
"1_2_7@d","Roche aux trois dates historiques",7.4479085777349,44.0625619042925,"2217,94"
"1_2_8","Roche aux quatre faces gravées",7.44780897978954,44.0624220765051,"2213,98"
"1_2_8@a","Roche du corniforme sous l'auvent",7.44859644882279,44.0618366696615,"2191,32"
"1_2_8@b","Roche de la gouttière noire",7.4479286943914,44.061199251076,"2145,8"
"1_2_8@d",NA,7.44755875259529,44.0614052136544,"2153,87"
"1_2_8A","Roche aux trois réticulés",7.44788295564191,44.0624097428584,"2213,13"
"1_2_8B","Roche à la plage aux quatre appendices",7.44773500390644,44.0624344101037,"2213"
"1_2_8C","Roche du poignard au bord de la falaise",7.44851324827351,44.0615969069452,"2174,4"
"1_2_8D","Roche de la petite paroi vitrifiée",7.44845799466279,44.0615362560413,"2170"
"1_2_8E","Roche très érodée",7.44834277353015,44.0615053477185,"2167,95"
"1_2_9","Roche du renard",7.44827972538519,44.0621232166472,"2212,79"
"1_2_9@a","Roches aux grosses cupules éparses",7.44844410422152,44.062100517804,"2209,15"
"1_2_9@b","Roche triangulaire",7.45077353726612,44.061702988418,"2214,57"
"1_2_9@d","Roche dans la tranchée militaire",7.45179051778993,44.0614589769388,"2206,77"
"1_2_9@e","Roche à l'extrémité de la tranchée militaire",7.45204045520159,44.0614567844516,"2204,46"
"1_2_9@g","Roche au-dessus de la tranchée militaire",7.45153736057167,44.0617138242245,"2222,28"
"1_2_9@x","roche au milieu de la tranchée militaire",7.45167136078318,44.0615274491762,"2209,98"
"1_3_1@a","Roche aux corniformes côte à côte",7.45075537572507,44.0641026548015,"2410,13"
"1_3_2@a","Roche au bord du sentier du Bego",7.45129574840529,44.0641325315951,"2397,21"
"1_3_3@a","Roche aux deux files de corniformes",7.45145854660769,44.0639899568651,"2393,03"
"1_3_3@b","Roche des quatre corniformes au petit corps",7.4515652501582,44.0639220436388,"2390,21"
"1_3_3@c","Roche aux corniformes perpendiculaires",7.45133014627372,44.0638063322204,"2386,35"
"1_3_4@a","Roche à la frise de corniformes",7.45218629143442,44.0637562095128,"2378,83"
"1_3_4@b","Roche au corniforme au grand corps",7.452010543299,44.0641545826375,"2391"
"1_3_5@a","Roche aux trois paires de corniformes",7.45210994170591,44.0636685498302,"2380,97"
"1_3_5@b","Roche aux deux paires de corniformes dans un cercle",7.45215837519062,44.0636645737247,"2379,39"
"1_3_6@a","Roche du panorama sur la vallée de la Minière",7.45196090363583,44.0636806456646,"2384,77"
"1_4_1@a","Roche du réticulé à franges simples",7.46057874424518,44.0586655860936,"2139,28"
"1_4_1@b","Roche des deux lames parallèles",7.46060757830623,44.0585650890507,"2133,9"
"1_4_2@a","Roche du réticulé à franges complexes",7.46064568881796,44.0587166879724,"2139,64"
"1_4_3@a","Roche à l'aplomb de la cabane de Pascal",7.46097889806786,44.0588099351749,"2132,52"
"1_4_4@a","Roche de la plate-forme en pente",7.46092518683503,44.0587672571451,"2133,87"
"1_4_5@a","Roche de l'affleurement en pointe",7.46086522820958,44.0587970063436,"2137,1"
"1_4_6@a","Roche du corniforme au corps au bord de la falaise",7.46099061644993,44.0586560972199,"2124,69"
"10_1_1@a",NA,7.4453187571574,44.0657497595077,"2321,95"
"10_1_1@b",NA,7.44572949431178,44.0655923586495,"2313,63"
"10_1_1@c",NA,7.44551036021864,44.0655667150883,"2311,58"
"10_1_1@d",NA,7.44568954905761,44.0659038773258,"2320"
"10_1_1@e",NA,7.44574756821864,44.0658890589772,"2320"
"10_1_1@g",NA,7.44526776357105,44.0657394413496,"2323,27"
"10_1_1A",NA,7.44563521293203,44.064951452395,"2310"
"10_1_1B",NA,7.44553286397623,44.0649775648273,"2310"
"10_1_1C",NA,7.44542553585475,44.0648069114371,"2305,91"
"10_2_1","Roche de la figure à franges et des poignards",7.4460890809496,44.06629879048,"2357,92"
"10_2_10@a",NA,7.44275482936442,44.0689680563269,"2344,05"
"10_2_10@b",NA,7.44261240600107,44.0693140207774,"2341,96"
"10_2_10A",NA,7.44278431349406,44.0693951378311,"2348,28"
"10_2_10B",NA,7.4427659364723,44.0691233590888,"2345,41"
"10_2_10C",NA,7.44279040346768,44.0694574573268,"2346,25"
"10_2_11",NA,7.44228358151322,44.0694184913097,"2326,5"
"10_2_11@a",NA,7.4423184775501,44.0693111370465,"2325,28"
"10_2_11@b",NA,7.44233403000882,44.0692692187866,"2324,1"
"10_2_11@c1",NA,7.44237598238102,44.0691950060502,"2324,64"
"10_2_11@c2",NA,7.44238776506227,44.0691810653268,"2325,39"
"10_2_11@d",NA,7.44239469142991,44.0688957571601,"2324,47"
"10_2_11@e",NA,7.44242385678966,44.0687863507128,"2327,14"
"10_2_12",NA,7.44243113262173,44.0693115320781,"2332,05"
"10_2_13@a",NA,7.44174159272989,44.0698495030002,"2317,01"
"10_2_13A","Roche du sacrifice",7.44222983394382,44.0693223195765,"2319,32"
"10_2_13B",NA,7.44165046076555,44.0698035167953,"2313,68"
"10_2_15",NA,7.44134736271111,44.0701541723429,"2310,61"
"10_2_15@a1",NA,7.44182118968281,44.0704047188887,"2328,6"
"10_2_15@b",NA,7.44167913345559,44.0701696516748,"2319,43"
"10_2_15@c",NA,7.44155890450007,44.0703420762683,"2327,08"
"10_2_15@d",NA,7.44182031872404,44.0704307752873,"2330,64"
"10_2_15@e",NA,7.44172109312847,44.0704066001676,"2332,83"
"10_2_15@x",NA,7.4415855752509,44.0703534330113,"2329,95"
"10_2_15A","Bird Rock",7.44148873617775,44.0702085915052,"2319,84"
"10_2_16",NA,7.44125088245309,44.0701844715741,"2307,03"
"10_2_16@a",NA,7.44109315962999,44.0701986094139,"2303,2"
"10_2_16@b",NA,7.44102204124729,44.0702258074767,"2302,06"
"10_2_17",NA,7.44092099326313,44.0703047563984,"2302,51"
"10_2_18@a",NA,7.44080901816946,44.070598077937,"2310,2"
"10_2_18@b",NA,7.44082124376481,44.0706655548365,"2311,7"
"10_2_18@d",NA,7.44169798772064,44.0706341362308,"2330,33"
"10_2_18@e",NA,7.44085838596385,44.0706398426848,"2312,37"
"10_2_18@g",NA,7.44130273365527,44.070545673771,"2324,61"
"10_2_18@r",NA,7.44130527602333,44.0705787890109,"2323,14"
"10_2_18@x",NA,7.44148211567539,44.0704737095519,"2329,55"
"10_2_18A",NA,7.44107913431049,44.0705773325971,"2318,55"
"10_2_18B",NA,7.44114978649685,44.070508247975,"2318,91"
"10_2_18C","Roche du boustrophédon",7.44127933524512,44.070573648662,"2322,77"
"10_2_18D",NA,7.44122266344737,44.0705590053192,"2320,98"
"10_2_18E",NA,7.44166408087538,44.0705977053597,"2329,94"
"10_2_18F",NA,7.44105696713947,44.0704638300215,"2314,94"
"10_2_1@a",NA,7.44610666927027,44.0661348178223,"2346,7"
"10_2_1@b",NA,7.44584391973041,44.0663368985989,"2360,92"
"10_2_1@c",NA,7.44546524308049,44.0664748004182,"2362,16"
"10_2_2@a",NA,7.44398298141795,44.0671988568555,"2363,98"
"10_2_2@b",NA,7.44392495811744,44.0673611852627,"2369,08"
"10_2_2A",NA,7.44395908845448,44.0672666252975,"2364,81"
"10_2_2B",NA,7.44393422097059,44.0674149968372,"2371,1"
"10_2_2C",NA,7.44378342325202,44.0672884335303,"2361,1"
"10_2_3A",NA,7.44363584365972,44.0675740283658,"2363,97"
"10_2_3B",NA,7.44354213505329,44.0676262821956,"2363,16"
"10_2_4@a",NA,7.44338809205922,44.0680856217334,"2367,68"
"10_2_4@b",NA,7.44314598784119,44.0680717516714,"2355,21"
"10_2_4@c",NA,7.4429141192557,44.0681322917767,"2342,09"
"10_2_4@d",NA,7.44272662311491,44.0681875532859,"2333,28"
"10_2_4@e",NA,7.44293176460684,44.0679135323946,"2343"
"10_2_4@g",NA,7.44368564269843,44.0681462840872,"2379,98"
"10_2_4@h",NA,7.44323913402931,44.0675503149915,"2360,06"
"10_2_4@l",NA,7.44305348617226,44.0678516956801,"2349,88"
"10_2_4A",NA,7.44345114516549,44.0678213433999,"2365,16"
"10_2_4B",NA,7.44349642862549,44.0680899244592,"2376,69"
"10_2_4C",NA,7.44366792870907,44.0679546741565,"2377,08"
"10_2_4D",NA,7.44370903710272,44.0679563685787,"2377,87"
"10_2_5",NA,7.44356571249176,44.0683313232382,"2376,7"
"10_2_5@a",NA,7.44347768743009,44.0683817623231,"2376,07"
"10_2_6@a",NA,7.44340733553878,44.0687565606001,"2377,57"
"10_2_6@b",NA,7.4434035129006,44.0690469819063,"2381,65"
"10_2_6@e",NA,7.44316203039345,44.0686994960524,"2365,15"
"10_2_6A",NA,7.44339401089985,44.0687609524294,"2377,14"
"10_2_6C","Ukraine",7.44331139029697,44.0688631019382,"2375,8"
"10_2_6D",NA,7.44334684803866,44.0686670517788,"2373,08"
"10_2_6E",NA,7.44331441008487,44.0686702670251,"2371,69"
"10_2_7A",NA,7.44342627648477,44.0691720098168,"2383,7"
"10_2_7B",NA,7.443418416819,44.0691988210659,"2382,51"
"10_2_8",NA,7.44351142611404,44.0692824757219,"2384,04"
"10_2_8@a",NA,7.44339794282862,44.0695992161053,"2368,05"
"10_2_8@b",NA,7.4431235349876,44.0695920045583,"2355,15"
"10_2_8@c",NA,7.44330490697163,44.0697001286009,"2362,74"
"10_2_8@d",NA,7.44326289541349,44.0697477948388,"2360,38"
"10_2_8@e",NA,7.44334530411139,44.0696548353082,"2365,32"
"10_2_9",NA,7.44350318815507,44.0691214822465,"2388,38"
"10_3_1",NA,7.44142677800383,44.0699563217204,"2311,65"
"10_3_2",NA,7.44175790860355,44.0693661601723,"2301,65"
"10_3_3",NA,7.44185493930658,44.0693923887449,"2305,56"
"10_3_4",NA,7.44196064194856,44.0693553273361,"2307,84"
"10_3_5@a",NA,7.44207160300611,44.0682502377305,"2308,56"
"10_3_5@b",NA,7.441843054967,44.0687861691526,"2295,3"
"10_3_5@c",NA,7.44190436871459,44.0686085172934,"2299,03"
"10_3_5@l","Roche des figures à franges et du double zigzag",7.4418721959577,44.0690038981345,"2295,16"
"10_3_5@x",NA,7.44189045044711,44.0687726255692,"2298,9"
"10_3_5A",NA,7.4420129276584,44.0690100710093,"2304,42"
"10_3_5B",NA,7.44197903432177,44.0688841613507,"2304,01"
"10_3_5C",NA,7.44199519155572,44.068849701152,"2304,42"
"10_3_5D",NA,7.44200431897983,44.0688063751154,"2304,71"
"10_3_5E",NA,7.44201910469892,44.0687506122522,"2305,33"
